Wp;wphot^2+w^2+Om^2;wphot^2+w^2-Om^2;4wphot^2Om^2;Wpolar+;Wpolar-;W- + W+;2W+;2W-
0,0000001;0,05;-0,03;0,0016;0,2;0,1;-0,920625;-1,020625;-0,820625
0,00001;0,05;-0,03;0,0016;0,2;0,1;-0,920625;-1,020625001;-0,820625
0,0001;0,05000001;-0,02999999;0,0016;0,200000033;0,099999983;-0,920625017;-1,020625067;-0,820624967
0,001;0,050001;-0,029999;0,0016;0,200003333;0,099998333;-0,920626667;-1,020631667;-0,820621667
0,01;0,0501;-0,0299;0,0016;0,200332688;0,099833932;-0,92079162;-1,021290377;-0,820292864
0,1;0,06;-0,02;0,0016;0,228824561;0,087403205;-0,936852766;-1,078274122;-0,79543141
0,15;0,0725;-0,0075;0,0016;0,25784388;0,077566316;-0,956035197;-1,13631276;-0,775757633
0,2;0,09;0,01;0,0016;0,292080963;0,068474165;-0,981180128;-1,204786925;-0,75757333
0,25;0,1125;0,0325;0,0016;0,329885362;0,060627122;-1,011137484;-1,280395724;-0,741879243
0,3;0,14;0,06;0,0016;0,370245917;0,054018151;-1,044889069;-1,361116835;-0,728661303
0,35;0,1725;0,0925;0,0016;0,412491359;0,048485864;-1,081602223;-1,445607717;-0,717596728
0,4;0,21;0,13;0,0016;0,456155281;0,043844719;-1,120625;-1,532935563;-0,708314437
0,45;0,2525;0,1725;0,0016;0,500904957;0,039927734;-1,161457691;-1,622434914;-0,700480468
0,5;0,3;0,22;0,0016;0,54649857;0,036596619;-1,203720189;-1,713622141;-0,693818238
0,55;0,3525;0,2725;0,0016;0,592757599;0,033740605;-1,247123204;-1,806140199;-0,68810621
0,6;0,41;0,33;0,0016;0,639548323;0,03127207;-1,291445393;-1,899721646;-0,68316914
0,65;0,4725;0,3925;0,0016;0,686769188;0,029121866;-1,336516053;-1,994163375;-0,678868731
0,7;0,54;0,46;0,0016;0,734342046;0,027235265;-1,382202311;-2,089309092;-0,675095529
0,75;0,6125;0,5325;0,0016;0,782206009;0,025568712;-1,428399721;-2,185037019;-0,671762424
0,8;0,69;0,61;0,0016;0,830313075;0,0240873;-1,475025375;-2,281251149;-0,6687996
0,85;0,7725;0,6925;0,0016;0,878624979;0,02276284;-1,522012819;-2,377874957;-0,66615068
0,9;0,86;0,78;0,0016;0,927110906;0,021572392;-1,569308298;-2,474846812;-0,663769784
0,95;0,9525;0,8725;0,0016;0,9757458;0,020497142;-1,616867942;-2,572116601;-0,661619284
1;1,05;0,97;0,0016;1,024509107;0,019521544;-1,664655651;-2,669643213;-0,659668089
1,05;1,1525;1,0725;0,0016;1,073383819;0,018632664;-1,712641483;-2,767392639;-0,657890328
1,1;1,26;1,18;0,0016;1,122355763;0,017819662;-1,760800425;-2,865336527;-0,656264323
1,15;1,3725;1,2925;0,0016;1,171413035;0,017073397;-1,809111432;-2,96345107;-0,654771794